id,name,rgb,is_trans,is_for_sale,known_colors,map_colors,manual_selection
0,Black,05131D,f,t,f,,t
1,Blue,0055BF,f,t,t,,
2,Green,237841,f,t,f,,
3,Dark Turquoise,008F9B,f,t,t,t,
4,Red,C91A09,f,t,t,,
5,Dark Pink,C870A0,f,t,t,,t
6,Brown,583927,f,t,f,,
7,Light Gray,9BA19D,f,t,f,,
8,Dark Gray,6D6E5C,f,f,f,,
9,Light Blue,B4D2E3,f,t,f,,
10,Bright Green,4B9F4A,f,t,t,t,
11,Light Turquoise,55A5AF,f,f,f,,
12,Salmon,F2705E,f,f,f,,
13,Pink,FC97AC,f,t,f,,
14,Yellow,F2CD37,f,t,t,,
15,White,FFFFFF,f,t,t,t,f
17,Light Green,C2DAB8,f,f,f,,
18,Light Yellow,FBE696,f,f,f,,
19,Tan,E4CD9E,f,t,t,t,
20,Light Violet,C9CAE2,f,f,f,,
21,Glow In Dark Opaque,D4D5C9,f,f,f,,
22,Purple,81007B,f,f,f,,
23,Dark Blue-Violet,2032B0,f,f,f,,
25,Orange,FE8A18,f,t,t,t,
26,Magenta,923978,f,t,t,,
27,Lime,BBE90B,f,t,t,t,
28,Dark Tan,958A73,f,t,t,,
29,Bright Pink,E4ADC8,f,t,t,,
30,Medium Lavender,AC78BA,f,f,f,,
31,Lavender,E1D5ED,f,t,t,,
32,Trans-Black IR Lens,635F52,t,f,f,,
33,Trans-Dark Blue,0020A0,t,t,t,,
34,Trans-Green,84B68D,t,t,t,,
35,Trans-Bright Green,D9E4A7,t,t,t,,
36,Trans-Red,C91A09,t,t,t,,
40,Trans-Black,635F52,t,t,t,,
41,Trans-Light Blue,AEEFEC,t,t,t,,
42,Trans-Neon Green,F8F184,t,t,f,,
43,Trans-Very Lt Blue,C1DFF0,t,f,f,,
45,Trans-Dark Pink,DF6695,t,t,t,,
46,Trans-Yellow,F5CD2F,t,t,t,,
47,Trans-Clear,FCFCFC,t,t,t,,
52,Trans-Purple,A5A5CB,t,t,t,,
54,Trans-Neon Yellow,DAB000,t,t,f,,
57,Trans-Neon Orange,FF800D,t,t,f,,
60,Chrome Antique Brass,645A4C,f,f,f,,
61,Chrome Blue,6C96BF,f,f,f,,
62,Chrome Green,3CB371,f,f,f,,
63,Chrome Pink,AA4D8E,f,f,f,,
64,Chrome Black,1B2A34,f,f,f,,
68,Very Light Orange,F3CF9B,f,f,f,,
69,Light Purple,CD6298,f,f,f,,
70,Reddish Brown,582A12,f,t,t,,
71,Light Bluish Gray,A0A5A9,f,t,t,,
72,Dark Bluish Gray,6C6E68,f,t,t,,
73,Medium Blue,5A93DB,f,t,t,,
74,Medium Green,73DCA1,f,f,f,,
75,Speckle Black-Copper,05131D,f,f,f,,
76,Speckle DBGray-Silver,6C6E68,f,f,f,,
77,Light Pink,FECCCF,f,t,f,,
78,Light Flesh,F6D7B3,f,f,f,,
79,Milky White,FFFFFF,f,f,f,,
80,Metallic Silver,A5A9B4,f,t,f,,
81,Metallic Green,899B5F,f,f,f,,
82,Metallic Gold,DBAC34,f,t,f,,
84,Medium Dark Flesh,CC702A,f,f,f,,
85,Dark Purple,3F3691,f,f,f,,
86,Dark Flesh,7C503A,f,f,f,,
89,Royal Blue,4C61DB,f,f,f,,
92,Flesh,D09168,f,f,f,,
100,Light Salmon,FEBABD,f,f,f,,
110,Violet,4354A3,f,f,f,,
112,Blue-Violet,6874CA,f,f,f,,
114,Glitter Trans-Dark Pink,DF6695,t,t,t,,
115,Medium Lime,C7D23C,f,f,f,,
117,Glitter Trans-Clear,FFFFFF,t,t,t,,
118,Aqua,B3D7D1,f,f,f,,
120,Light Lime,D9E4A7,f,t,f,,
125,Light Orange,F9BA61,f,f,f,,
129,Glitter Trans-Purple,A5A5CB,t,f,f,,
132,Speckle Black-Silver,05131D,f,f,f,,
133,Speckle Black-Gold,05131D,f,f,f,,
134,Copper,AE7A59,f,f,f,,
135,Pearl Light Gray,9CA3A8,f,f,f,,
137,Metal Blue,7988A1,f,f,f,,
142,Pearl Light Gold,DCBC81,f,t,f,,
143,Trans-Medium Blue,CFE2F7,t,t,f,,
148,Pearl Dark Gray,575857,f,t,f,,
150,Pearl Very Light Gray,ABADAC,f,f,f,,
151,Very Light Bluish Gray,E6E3E0,f,f,f,,
158,Yellowish Green,DFEEA5,f,t,t,,
178,Flat Dark Gold,B48455,f,f,f,,
179,Flat Silver,898788,f,t,t,,
182,Trans-Orange,F08F1C,t,t,t,,
183,Pearl White,F2F3F2,f,f,f,,
191,Bright Light Orange,F8BB3D,f,t,t,t,
212,Bright Light Blue,9FC3E9,f,t,t,,
216,Rust,B31004,f,f,f,,
226,Bright Light Yellow,FFF03A,f,t,t,,
